IP,Cantidad registros
157.245.216.88,120
3.104.248.181,3
94.159.31.10,120
6.129.226.206,3
180.76.101.144,117
3.180.76.101,3
107.2.239.240,80
14.206.81.15,3
43.155.76.131,1
137.184.205.179,231
157.230.183.86,231
43.134.75.143,111
157.230.32.55,111
18.236.106.103,87
01.137.184.205,3
124.152.76.180,80
42.157.230.183,3
3.157.230.183,3
002.64.227.27,3
50.43.134.75,3
42.137.184.205,3
1.157.230.32,3
50.157.230.32,3
243.134.75.143,3
3.137.184.205,3
01.157.230.183,3
1.43.134.75,3
27.204.6.252,97
13.38.43.99,70
207.154.202.159,80
43.154.160.65,114
213.82.38.230,228
138.94.75.17,80
111.57.0.90,224
196.46.55.2,320
3.213.82.38,3
219.148.31.135,113
11.43.156.59,3
101.251.219.100,84
123.43.154.52,3
123.27.204.6,6
3.43.154.160,3
1.43.154.160,6
50.18.236.106,3
1.27.204.6,3
127.204.6.252,3
27.147.132.227,107
51.15.190.11,197
2.80.251.216,9
80.251.216.10,187
01.27.147.132,3
20.231.45.255,280
94.240.180.92,200
125.235.240.165,114
1.125.235.240,6
1.27.147.132,3
03.27.147.132,3
6.186.67.77,3
6.51.15.190,3
202.84.44.227,38
195.154.113.18,114
154.16.168.64,114
181.30.129.31,234
1.195.154.113,6
217.95.249.5,117
3.110.50.222,114
1.217.95.249,3
3.154.16.168,3
2.154.16.168,3
1.181.30.129,3
128.199.43.218,80
3.181.30.129,3
7.3.110.50,3
50.190.223.26,3
209.97.183.120,117
1.43.128.42,3
200.73.132.224,8
1.190.223.26,3
1.3.110.50,3
23.94.69.151,337
109.167.200.10,237
103.133.153.86,117
14.103.133.153,3
150.109.94.130,120
1.23.94.69,3
130.193.48.245,117
178.62.201.68,41
50.214.100.27,120
4.109.167.200,3
3.209.97.183,3
2.130.193.48,3
43.154.160.154,234
43.134.77.237,114
115.85.53.91,120
43.154.52.149,117
5.129.226.172,3
2.43.154.160,3
1.129.226.172,6
106.51.80.198,117
11.43.154.52,6
1.43.134.205,3
43.134.205.15,117
164.163.21.78,181
101.93.168.96,4
104.198.4.9,120
1.43.134.77,3
01.129.226.172,3
219.65.68.153,231
1.219.65.68,3
6.106.51.80,3
43.132.156.59,120
119.159.234.131,114
198.199.87.195,117
20.103.183.118,111
3.20.103.183,3
9.190.156.231,3
01.119.159.234,3
21.198.199.87,3
112.111.0.245,16
43.155.73.125,114
7.20.103.183,3
1.190.156.231,3
2.43.155.73,3
1.20.103.183,3
64.227.189.60,114
206.81.5.191,114
2.190.156.231,3
6.190.156.231,3
243.155.73.125,3
21.206.81.5,3
07.119.159.234,3
11.64.227.189,3
43.156.124.69,114
43.156.245.91,117
43.154.208.9,237
143.198.152.6,234
188.166.240.30,117
243.156.124.69,3
2.188.166.240,3
2.206.81.5,3
1.43.156.124,6
8.143.198.152,3
178.62.70.184,114
185.38.3.138,354
43.134.177.82,84
3.178.62.70,3
43.154.192.204,154
106.75.10.4,114
2.139.31.10,121
2.106.75.10,3
11.185.38.3,3
129.226.205.204,120
46.101.225.227,228
131.0.112.23,117
110.88.160.161,187
3.221.148.45,3
1.106.75.10,3
3.143.198.152,3
1.43.154.192,6
4.2.139.31,3
3.46.101.225,6
1.131.0.112,3
1.110.88.160,3
50.110.88.160,3
43.156.27.140,4
154.214.4.199,114
46.101.31.237,111
128.199.216.160,345
2.46.101.225,6
8.154.214.4,3
2.46.101.31,3
2.115.88.38,3
24.46.101.31,3
43.154.105.27,395
129.226.152.48,117
8.128.199.216,3
7.43.154.159,3
1.43.154.159,3
56.43.154.105,3
43.132.157.142,117
43.154.60.165,117
3.43.154.60,3
104.43.228.190,157
187.18.108.73,117
219.238.169.224,116
190.24.6.162,111
175.193.13.3,120
180.76.105.165,117
08.104.43.228,3
9.190.24.6,3
1.190.24.6,6
160.251.12.127,111
2.160.251.12,6
3.180.76.105,3
20.226.24.178,120
66.228.36.201,228
124.160.96.242,117
174.208.178.15,4
3.160.251.12,3
36.152.23.106,118
01.66.228.36,3
69.55.60.106,220
129.226.91.236,111
2.129.226.91,6
4.129.226.91,3
2.124.160.96,3
103.166.183.43,114
103.226.251.99,114
172.105.99.158,114
2.186.122.149,3
1.104.248.160,3
10.172.105.99,3
1.172.105.99,3
10.104.248.160,3
188.166.126.56,80
1.186.122.149,3
2.103.166.183,3
5.103.226.251,3
1.103.166.183,3
7.103.226.251,3
181.64.193.93,80
3.8.208.81,3
3.64.227.35,3
43.134.202.107,220
75.119.147.47,80
67.205.148.157,114
2.67.205.148,3
6.165.227.197,3
8.67.205.148,3
111.67.197.146,117
43.134.177.198,8
159.89.163.226,224
181.48.99.155,120
11.43.129.224,3
128.199.62.182,117
43.154.47.210,217
140.238.204.138,111
9.128.199.62,3
75.119.154.229,114
188.166.246.182,114
7.75.119.154,3
123.188.166.246,3
1.120.48.24,6
120.48.24.177,111
124.156.4.243,80
69.49.244.94,200
144.126.220.133,114
4.111.67.197,3
2.80.250.165,6
123.144.126.220,3
001.144.126.220,3
106.13.40.23,189
21.75.119.154,3
209.141.62.114,117
3.80.250.165,3
139.9.245.224,108
45.240.88.142,331
138.197.142.81,111
01.139.9.245,3
1.139.9.245,6
1.45.240.88,6
21.188.166.246,3
8.139.9.245,3
43.159.51.192,80
185.191.205.92,217
51.159.59.241,2
112.28.209.66,126
1.185.191.205,3
3.209.141.62,3
2.138.197.142,3
24.138.197.142,3
3.112.28.209,3
3.140.238.204,3
146.185.137.240,117
35.86.95.33,1
4.68.183.156,3
3.146.185.137,3
149.28.141.181,117
178.62.119.91,234
207.154.205.115,197
190.14.37.101,120
23.105.204.216,80
4.207.154.205,3
4.178.62.119,3
10.149.28.141,3
68.183.110.49,201
113.203.237.139,80
43.154.191.208,16
43.156.243.247,117
20.40.81.0,117
114.252.40.57,120
201.124.28.112,117
218.83.152.174,109
14.20.40.81,3
1.201.124.28,3
61.216.131.31,80
9.116.197.135,3
3.43.156.243,3
1.218.83.152,3
52.183.141.32,114
104.131.40.97,80
1.52.183.141,6
43.134.90.40,117
35.166.156.57,117
43.153.74.62,120
43.159.39.117,117
01.43.134.90,3
01.35.166.156,3
82.156.22.146,80
188.166.233.207,160
139.214.222.227,84
114.141.132.88,120
1.43.159.39,3
134.17.16.43,293
3.43.154.110,3
43.154.110.156,271
65.49.210.99,197
43.155.95.51,157
43.129.68.108,237
128.199.152.70,120
6.206.81.15,3
03.206.81.15,3
1.43.129.68,3
02.190.111.23,6
161.35.229.78,117
37.139.4.138,80
43.154.4.79,117
102.164.61.126,33
1.134.17.16,6
1.43.154.4,3
3.43.155.95,3
95.79.31.128,80
43.134.83.40,117
2.102.164.61,3
01.43.134.83,3
128.199.145.5,120
105.27.236.246,117
002.105.27.236,3
170.80.68.242,237
43.134.85.245,117
134.209.248.200,231
164.90.194.36,111
103.120.223.29,120
178.128.144.227,120
2.170.80.68,3
2.164.90.194,6
139.59.27.36,120
02.43.132.202,3
206.189.192.55,4
164.92.244.252,379
134.17.17.35,237
3.164.90.194,3
3.43.134.85,3
123.153.97.131,117
4.123.153.97,3
1.210.97.86,3
2.134.209.248,3
123.43.132.202,3
1.164.92.244,3
104.248.134.211,120
202.165.25.136,120
129.226.201.120,117
15.121.204.164,3
3.134.17.17,3
10.164.92.244,3
123.138.197.203,3
138.197.203.168,502
1.138.197.203,9
01.138.197.203,3
193.189.89.120,117
210.211.116.80,228
68.183.82.171,234
1.210.211.116,6
43.134.208.112,240
01.210.211.116,3
165.154.60.106,90
8.68.183.82,3
118.27.29.57,120
8.210.211.116,3
8.212.150.199,81
3.129.226.201,3
139.155.88.85,114
182.140.250.33,80
150.107.149.31,120
1.111.57.0,3
156.251.130.170,111
115.239.178.126,117
118.24.5.125,113
195.29.51.136,96
137.184.186.151,80
2.115.239.178,3
117.50.181.190,70
10.43.154.116,3
1.8.212.150,3
1.156.251.130,6
1.118.24.5,6
07.117.50.181,3
118.24.5,3
01.117.50.181,3
4.8.212.150,3
10.156.251.130,3
101.32.240.243,117
210.195.0.205,114
64.225.79.157,114
210.187.80.143,111
41.242.112.44,114
01.210.195.0,3
5.210.187.80,3
01.210.187.80,3
2.147.182.141,3
3.64.225.79,3
2.210.187.80,3
001.210.195.0,3
159.203.170.193,117
3.41.242.112,3
120.48.6.169,114
178.128.159.1,120
178.62.73.41,242
3.120.48.6,3
1.195.29.51,3
01.178.62.73,3
43.156.82.245,197
41.191.116.18,325
27.184.24.213,114
43.132.157.156,117
2.41.191.116,3
178.62.46.229,414
188.166.146.208,117
114.67.236.245,117
2.188.166.146,3
2.223.223.194,3
43.154.125.199,111
219.145.61.20,107
176.199.87.118,80
201.238.215.131,120
85.219.145.61,3
3.43.154.125,3
2.178.62.46,3
43.155.81.242,114
002.43.132.157,3
95.77.98.196,234
129.226.90.185,120
1.219.145.61,3
14.43.156.82,3
1.27.184.24,3
08.114.67.236,3
01.95.77.98,3
181.65.45.167,1
43.241.69.22,235
123.43.154.125,3
111.43.154.125,3
2.43.155.81,3
144.91.101.39,120
3.43.155.81,3
02.172.245.210,3
1.172.245.210,6
43.134.238.86,200
5.14.63.219,3
41.82.208.182,117
37.59.37.25,117
5.91.185.50,3
91.185.50.203,114
12.41.82.208,3
123.37.59.37,3
7.91.185.50,3
1.43.154.78,6
43.154.188.250,114
60.235.231.106,154
124.65.181.78,131
15.43.154.188,3
4.138.68.230,3
5.43.154.78,3
2.138.68.230,3
1.43.154.188,3
83.12.171.69,107
1.138.68.230,3
190.202.124.93,117
1.83.12.171,6
10.83.12.171,3
123.190.190.4,3
1.60.235.231,3
4.200.29.109,3
200.29.109.224,203
1.190.202.124,3
3.190.190.4,6
5.101.140.75,234
43.135.159.26,228
180.76.246.50,113
34.220.97.219,1
161.35.112.155,230
129.226.206.18,80
1.180.76.246,9
35.101.140.75,3
01.43.135.159,3
3.5.101.140,3
1.161.35.112,3
1.161.35.72,6
161.35.72.39,111
001.43.135.159,3
138.117.79.182,120
52.130.254.154,120
121.4.140.53,111
43.129.247.215,108
2.121.4.140,3
8.43.129.247,3
01.43.129.247,3
1.43.129.247,6
221.234.9.76,113
180.76.141.221,111
43.155.79.195,120
167.99.5.186,231
210.3.92.14,117
2.180.76.141,6
2.44.166.148,399
147.182.247.174,80
167.71.166.101,120
3.2.44.166,6
1.210.3.92,3
1.167.99.5,6
3.167.99.5,3
164.92.77.80,120
34.151.215.28,257
211.253.133.48,114
103.129.223.98,114
43.156.58.134,120
46.101.171.235,237
51.210.105.172,157
02.211.253.133,6
3.46.101.171,3
1.103.129.223,3
43.154.50.36,117
159.89.115.75,348
177.43.233.9,120
165.227.54.158,121
43.156.225.94,20
43.156.19.126,120
43.156.244.82,117
112.196.62.36,120
1.117.50.176,3
21.43.156.244,3
002.165.227.54,3
20.232.142.62,388
43.154.65.182,234
43.156.51.109,117
43.132.157.111,117
1.162.243.91,6
03.52.172.5,3
1.43.154.65,12
1.20.232.142,6
42.200.11.53,297
43.132.156.29,120
03.43.156.51,3
1.37.17.73,3
3.42.200.11,6
160.251.7.202,234
121.134.250.35,114
43.154.83.132,80
129.226.93.245,132
13.82.51.214,111
201.17.231.251,117
21.121.134.250,3
2.160.251.7,3
2.121.134.250,3
61.76.169.138,117
21.160.251.7,3
1.13.82.51,6
4.201.17.231,3
5.13.82.51,3
180.76.172.84,111
170.106.179.213,231
1.171.244.43,3
171.244.43.66,111
159.65.132.116,227
210.56.25.101,117
2.206.189.105,3
02.119.28.104,6
119.28.104.106,114
1.170.106.179,6
1.180.76.172,3
8.159.65.132,3
59.111.103.165,80
133.18.226.220,108
2.171.244.43,3
113.31.104.89,313
2.133.18.226,6
2.113.31.104,6
10.133.18.226,3
1.210.56.25,3
139.59.226.255,237
139.59.248.5,234
123.139.59.248,3
143.110.188.7,80
001.139.59.248,3
103.25.209.110,117
81.70.6.172,117
43.154.177.67,117
178.176.225.151,114
43.154.203.230,120
43.159.41.251,120
1.133.18.226,3
188.166.208.174,80
5.178.176.225,3
3.95.213.143,3
43.225.141.119,111
1.65.49.210,3
43.154.72.206,17
10.113.31.104,3
3.190.56.224,3
117.4.244.81,194
159.89.91.67,220
43.128.50.80,120
2.43.225.141,6
7.178.176.225,3
3.81.70.6,3
117.4.244.25,334
3.43.225.141,3
129.226.159.105,117
101.36.178.48,111
1.101.36.178,3
116.203.243.14,231
1.117.4.244,6
3.117.4.244,3
2.116.203.243,3
1.116.203.243,6
43.159.33.207,120
203.171.20.139,114
43.154.71.39,234
1.66.228.36,6
5.203.171.20,3
104.225.143.72,114
123.43.154.71,3
43.130.7.75,117
128.199.132.1,120
1.104.225.143,3
200.194.26.223,117
3.43.154.42,3
2.43.130.7,3
8.203.171.20,3
5.200.194.26,3
1.125.77.20,3
3.200.142.113,3
1.200.142.113,6
103.9.159.153,116
203.190.55.203,4
001.43.156.246,3
207.249.96.12,105
03.207.249.96,3
1.207.249.96,12
218.255.245.10,217
1.154.198.4,3
119.28.108.210,80
43.155.80.143,234
128.199.167.161,280
197.155.234.157,113
1.2.139.220,6
2.139.220.58,351
68.168.142.91,71
123.60.224.145,117
1.123.60.224,3
43.155.75.245,117
129.226.205.220,117
02.43.155.80,6
43.128.121.163,117
01.129.226.205,6
2.154.198.4,3
3.154.198.4,3
1.197.155.234,3
36.227.213.69,60
193.122.108.42,80
12.218.255.245,3
194.233.82.39,80
43.129.9.111,117
43.132.157.120,114
21.43.155.75,3
106.75.251.131,92
103.233.1.97,114
37.139.16.229,220
64.225.73.254,314
01.43.128.121,3
2.43.129.9,3
77.82.90.234,105
139.217.99.82,75
20.222.113.64,123
2.103.233.1,3
05.106.75.251,3
43.154.163.28,154
43.154.142.229,234
95.154.21.210,80
123.103.233.1,3
6.101.231.146,3
87.121.6.204,114
128.199.83.155,108
165.227.227.155,80
3.87.121.6,3
1.128.199.83,3
2.128.199.83,6
2.87.121.6,3
3.77.82.90,3
210.16.189.156,120
35.219.66.91,117
10.128.199.83,3
165.22.101.75,111
134.122.44.93,111
87.219.167.59,117
1.165.22.101,6
149.129.51.193,80
134.122.115.216,295
139.59.166.87,117
60.222.249.130,117
1.34.92.176,6
1.35.219.66,3
2.128.199.80,3
1.134.122.44,6
1.87.219.167,3
1.60.222.249,3
1.139.59.166,3
139.59.57.2,220
223.197.175.91,4
185.98.137.169,117
3.239.67.232,4
119.188.125.168,197
194.1.168.36,117
6.175.103.36,3
2.175.103.36,3
129.226.11.88,271
43.154.34.117,80
123.194.1.168,3
3.170.106.179,3
10.139.59.108,3
1.107.175.28,3
195.140.146.29,120
35.216.73.53,109
58.186.75.101,117
147.182.206.116,111
162.142.125.10,2
36.91.166.34,120
201.149.49.146,352
22.147.182.206,3
3.35.216.73,3
2.35.216.73,6
2.161.35.112,3
01.147.182.206,3
62.94.193.216,117
129.226.216.65,111
190.129.60.125,114
21.147.182.206,3
146.190.238.105,360
104.131.105.84,277
04.159.65.11,3
103.129.221.188,117
2.58.186.75,3
2.43.154.208,6
2.103.129.221,3
164.92.81.136,120
3.62.94.193,3
04.159.65.132,3
120.48.2.70,120
2.190.129.60,3
1.190.129.60,3
1.129.226.216,3
2.129.226.216,6
5.47.105.36,3
1.47.105.36,3
200.73.140.89,117
159.223.235.76,208
6.159.223.235,3
03.159.223.235,3
52.130.148.242,117
143.198.75.99,124
165.227.174.166,114
159.192.137.24,225
36.80.48.9,5
1.165.227.174,3
1.200.73.140,3
1.159.223.235,3
3.52.130.148,3
124.156.215.129,111
111.159.192.137,3
43.154.106.242,120
11.124.156.215,3
3.159.192.137,3
3.124.156.215,3
123.159.192.137,3
3.165.227.174,3
002.124.156.215,3
178.128.218.29,225
101.32.97.177,231
43.154.61.131,217
159.203.72.14,217
45.7.196.67,117
42.99.180.135,12
2.159.203.72,3
111.47.118.217,2
21.180.211.138,3
1.180.211.138,1
04.178.128.218,3
218.208.81.146,117
159.65.118.84,16
208.87.130.78,120
1.101.32.97,3
9.101.32.97,3
123.81.192.87,3
43.154.69.24,117
2.45.7.196,3
06.43.154.69,3
129.226.158.246,84
02.202.111.178,3
93.42.117.137,80
43.134.27.206,80
43.132.156.51,108
160.251.47.176,80
1.43.154.75,3
43.154.75.225,117
11.124.65.181,3
3.124.65.181,3
47.45.227.119,197
43.154.190.78,120
43.159.36.99,117
1.43.129.224,6
002.124.65.181,3
41.59.82.183,4
5.43.159.36,3
2.43.129.224,3
3.43.129.224,3
185.182.185.104,114
43.128.94.192,117
43.156.80.227,108
43.154.52.45,114
1.180.211.139,5
2.185.182.185,3
3.47.45.227,3
8.43.154.52,3
10.185.182.185,3
5.43.156.80,3
162.144.244.6,117
5.43.154.52,3
46.101.38.229,277
180.76.100.205,360
01.43.156.80,3
1.43.128.94,3
43.154.112.11,117
43.156.70.37,4
150.136.65.184,228
191.242.105.131,108
104.175.239.228,120
81.70.10.151,120
195.178.151.27,120
1.43.156.80,6
10.129.226.205,3
01.128.199.247,3
2.43.154.112,3
1.150.136.65,3
196.216.53.198,117
124.222.138.152,336
20.229.7.195,117
129.226.206.22,120
01.191.242.105,3
1.191.242.105,3
10.196.216.53,3
8.162.144.244,3
10.150.136.65,3
2.20.229.7,3
152.179.67.70,117
120.48.29.18,120
2.32.107.178,117
43.154.69.230,12
1.2.32.107,3
5.195.122.226,3
156.232.9.101,197
2.195.122.226,6
3.152.179.67,3
222.73.129.15,58
36.110.85.91,84
43.154.171.84,80
39.129.9.180,224
110.87.104.160,70
4.156.232.9,3
154.73.36.9,390
212.64.102.216,172
123.110.87.104,21
1.39.129.9,3
1.154.73.36,3
3.39.129.9,3
203.66.168.81,20
103.52.16.118,117
12.110.87.104,3
118.24.212.114,112
185.107.195.180,117
2.39.129.9,3
8.110.87.104,3
152.231.140.150,117
3.152.231.140,3
3.128.199.107,3
128.199.107.58,115
3.201.48.78,3
164.92.133.194,114
3.103.52.16,3
1.164.92.133,3
2.201.48.78,3
10.164.92.133,3
2.101.32.97,3
12.182.254.149,3
182.254.149.130,133
2.128.199.107,3
1.185.107.195,3
34.201.149.91,120
202.77.105.98,240
2.180.76.99,3
134.209.240.88,117
107.173.111.206,177
159.65.204.223,237
2.134.209.240,3
104.168.68.119,4
142.93.176.165,120
01.159.65.204,3
103.235.170.195,38
142.93.139.116,160
117.184.199.39,81
178.128.106.89,301
02.117.184.199,3
164.92.91.248,114
110.88.160.179,231
10.110.88.160,3
3.164.92.91,3
1.164.92.91,3
12.60.50.99,3
46.101.34.244,80
211.75.19.210,80
154.94.5.214,334
139.59.189.130,117
62.171.174.166,117
08.154.94.5,3
103.233.0.102,197
1.139.59.189,3
6.103.233.0,3
139.59.3.175,114
203.198.94.105,114
1.62.171.174,3
3.139.59.3,3
5.203.198.94,3
8.203.198.94,3
27.54.184.10,29
127.54.184.10,3
34.71.185.220,191
182.74.114.198,8
2.23.224.230,6
3.64.227.185,3
106.54.112.173,178
43.154.164.180,291
001.34.71.185,3
21.106.54.112,3
1.106.54.112,6
3.43.154.164,3
162.243.42.225,37
7.43.154.121,3
206.189.198.237,157
6.116.197.135,3
43.154.144.211,71
3.106.54.112,3
4.206.189.198,3
4.162.243.42,3
0.106.54.112,3
3.43.154.144,3
165.227.160.72,454
3.34.71.185,3
1.43.154.164,3
1.34.71.185,3
10.23.224.230,3
50.43.154.164,3
43.154.70.66,191
179.131.10.103,40
3.165.227.160,3
163.44.197.129,468
193.122.104.222,12
210.74.11.97,37
45.120.69.82,188
2.134.17.16,3
1.210.74.11,3
1.43.154.70,3
5.43.154.70,3
01.180.76.165,3
36.110.142.212,269
125.129.82.220,371
177.229.242.77,3
77.229.242.77,194
103.246.106.118,197
4.36.110.142,3
9.134.17.16,3
1.45.120.69,6
4.185.18.213,3
1.125.129.82,6
3.45.120.69,3
2.77.229.242,3
118.27.112.33,188
7.36.110.142,3
7.185.18.213,3
178.128.28.51,290
01.45.120.69,3
09.125.129.82,3
104.236.136.172,4
6.103.246.106,3
43.154.152.15,197
103.26.136.52,597
3.180.184.67,6
7.178.128.28,3
178.128.221.85,37
94.205.140.162,277
1.178.128.221,3
52.172.165.176,37
243.154.152.15,3
162.241.201.224,195
64.225.58.159,191
147.182.195.146,311
43.154.6.2,4
2.118.27.112,3
3.118.27.112,3
01.147.182.195,3
01.178.62.201,3
1.147.182.195,3
2.178.128.28,3
1.178.128.28,6
03.178.128.28,3
1.103.26.136,9
2.161.35.59,3
2.94.205.140,3
2.64.225.58,3
1.162.241.201,6
1.64.225.58,3
01.103.26.136,6
3.178.128.28,3
3.147.182.195,3
3.103.26.136,6
46.101.113.206,387
1.46.101.113,3
178.22.168.219,157
3.46.101.113,3
1.178.22.168,3
161.35.100.147,280
01.46.101.113,3
161.97.168.241,188
45.232.75.253,71
109.115.187.31,185
9.45.232.75,3
1.109.115.187,3
2.161.97.168,6
196.219.43.242,124
2.109.115.187,6
194.5.188.5,118
8.109.115.187,3
4.161.97.168,3
3.109.115.187,3
152.136.187.147,265
1.27.1.253,3
1.152.136.187,6
2.27.1.253,3
49.205.177.59,317
143.244.128.72,140
178.128.19.209,188
2.178.128.19,3
123.45.64.186,3
2.68.183.143,9
245.64.186.145,3
1.178.128.19,3
1.45.64.186,3
2.45.64.186,3
2.152.136.187,3
123.178.128.19,3
3.68.183.143,3
180.76.117.234,188
13.127.214.170,40
2.180.76.117,3
3.152.136.187,3
1.49.205.177,3
123.180.76.117,3
1.180.76.117,3
43.154.55.58,40
106.13.142.37,40
243.154.192.13,3
1.206.189.147,12
2.206.189.147,6
03.206.189.147,3
165.227.101.226,231
128.199.158.182,40
139.59.40.152,293
180.76.172.245,21
2.180.76.172,3
188.166.100.11,462
02.138.197.203,3
05.138.68.40,3
1.188.166.100,3
0.43.154.101,3
43.154.17.191,188
1.43.154.17,6
01.188.166.100,6
21.139.59.40,3
0.139.59.40,3
3.206.189.147,3
47.241.31.86,385
133.130.118.86,40
60.196.69.234,34
3.139.59.40,6
3.188.166.100,3
21.60.196.69,3
5.47.241.31,3
0.43.154.17,3
04.47.241.31,3
3.43.154.17,6
8.47.241.31,3
2.138.68.40,3
1.139.59.40,6
3.43.154.101,3
175.107.63.3,37
186.226.37.45,277
3.103.233.2,3
1.159.65.159,3
7.206.189.147,3
123.138.68.40,3
43.245.86.218,44
1.175.107.63,3
54.90.1.68,4
02.186.226.37,3
41.141.198.29,191
4.40.73.102,3
49.51.243.157,40
3.41.141.198,3
45.164.21.116,197
162.243.73.244,548
178.62.116.118,40
7.40.73.102,3
3.221.122.113,3
221.122.113.98,225
1.221.122.113,9
107.172.8.36,277
199.249.230.42,264
185.162.172.75,185
24.185.162.172,3
3.129.226.11,3
72.250.52.70,4
2.185.162.172,3
1.107.172.8,3
3.185.162.172,6
1.41.141.198,3
5.221.122.113,3
3.43.159.41,3
6.129.226.11,3
106.12.161.226,267
60.30.98.194,33
1.27.0.12,3
27.0.12.186,31
217.95.235.98,37
002.185.162.172,3
111.43.159.41,3
01.27.0.12,3
1.60.30.98,3
1.217.95.235,3
1.129.226.11,3
3.162.243.73,3
9.199.249.230,3
243.159.41.211,3
2.106.12.161,6
1.43.159.41,3
8.38.172.86,391
01.106.12.161,3
182.253.140.100,185
43.132.156.9,160
43.156.57.168,39
120.48.23.59,34
1.43.155.75,12
43.155.75.36,465
143.244.129.76,277
1.182.253.140,9
31.43.155.75,3
4.43.156.57,6
4.120.48.23,3
1.120.48.23,3
3.182.253.140,3
6.43.156.57,3
02.106.12.161,3
1.43.156.57,15
2.232.250.91,348
07.8.38.172,3
01.2.232.250,3
162.142.125.210,1
5.182.253.140,3
1.2.232.250,6
120.48.8.133,218
43.156.93.212,37
129.226.93.68,271
43.154.191.96,308
3.34.151.215,3
3.185.199.8,3
7.129.226.93,3
4.2.232.250,3
4.129.226.93,6
9.143.244.129,3
1.43.154.191,6
7.8.38.172,3
09.43.154.191,3
1.8.38.172,3
111.185.199.8,3
58.210.241.5,268
3.58.210.241,3
2.58.210.241,3
197.5.145.77,397
106.126.14.133,383
43.154.186.98,40
1.197.5.145,3
21.23.224.230,3
1.106.126.14,3
157.245.51.16,197
01.180.76.99,3
8.157.245.51,3
164.92.205.82,37
3.164.92.205,3
2.213.202.212,3
95.216.191.33,37
01.95.216.191,3
1.165.227.124,3
8.213.202.212,3
123.163.44.197,3
189.146.218.245,194
81.177.6.73,37
05.163.44.197,3
01.81.177.6,3
2.189.146.218,3
4.41.191.116,3
2.163.44.197,3
3.189.146.218,3
5.200.70.148,188
35.200.70.148,3
157.230.19.72,197
1.5.200.70,3
106.12.151.109,302
9.5.200.70,3
2.106.12.151,6
3.106.12.151,3
1.157.230.19,3
159.203.11.165,271
146.56.105.201,40
7.5.200.70,3
1.106.12.151,3
7.43.155.111,3
7.159.203.11,3
101.43.154.105,3
1.43.154.105,6
7.20.232.142,3
138.68.234.162,188
43.154.34.50,268
1.138.68.234,6
2.159.203.170,6
1.159.203.170,6
3.138.68.234,3
02.162.243.73,3
4.159.203.11,3
01.138.68.234,3
35.199.146.114,253
02.43.154.34,6
2.162.243.73,3
2.164.92.244,3
1.138.197.19,6
138.197.19.166,388
167.99.12.43,194
43.154.102.6,188
60.164.48.27,194
123.164.92.244,3
1.43.154.34,3
05.164.92.244,3
07.20.232.142,3
3.43.154.102,9
2.43.154.102,3
2.138.197.19,3
01.162.243.73,3
3.138.197.19,3
01.167.99.12,3
1.167.99.12,3
43.154.184.160,394
1.43.154.102,3
2.43.154.34,3
50.180.76.109,3
2.180.76.109,3
7.43.154.184,3
62.64.86.44,40
138.68.10.182,197
1.180.76.135,3
94.23.27.28,434
43.154.137.193,221
141.144.233.242,2
06.43.154.184,3
06.35.199.146,3
243.154.144.211,3
08.43.154.137,3
2.172.245.210,6
8.138.68.10,3
143.198.168.31,189
1.94.23.27,3
159.65.127.239,273
43.132.157.124,274
177.221.220.130,270
106.12.168.106,362
180.167.67.133,40
22.122.160.51,3
43.154.105.203,314
243.154.105.203,3
8.172.245.210,3
3.172.245.210,3
161.35.60.70,185
123.142.3.137,271
103.136.42.145,37
206.189.137.251,274
2.103.136.42,3
2.161.35.60,3
3.161.35.60,3
1.106.12.168,3
1.161.35.60,6
190.103.202.12,277
1.143.198.168,6
01.123.142.3,3
2.177.221.220,3
2.159.65.127,3
8.119.2.53,3
192.241.182.13,308
198.211.121.90,40
43.156.32.46,40
05.177.221.220,3
180.240.196.6,4
3.192.241.182,3
2.123.142.3,3
112.64.33.38,277
123.177.221.220,3
161.97.87.84,274
121.165.140.242,154
1.161.97.87,3
1.121.165.140,3
5.119.2.53,3
02.192.241.182,3
3.43.154.192,3
02.123.142.3,3
1.192.241.182,6
1.190.103.202,3
04.119.2.53,3
46.101.2.4,181
35.244.22.104,277
1.46.101.2,3
220.181.58.12,154
139.198.174.152,186
3.220.181.58,3
3.46.101.2,3
10.82.65.23,3
43.154.51.167,277
8.46.101.2,3
43.154.109.197,371
2.46.101.2,6
1.212.227.11,6
1.112.64.33,3
7.43.154.109,3
10.43.154.51,3
45.240.88.234,188
1.43.154.109,3
5.212.227.11,3
07.43.154.109,3
2.45.240.88,3
6.139.198.174,3
0045.240.88.234,3
188.166.231.119,191
193.123.102.80,28
43.154.89.157,148
43.132.156.117,317
121.204.183.121,271
1.43.154.89,6
1.121.204.183,3
1.134.122.115,3
2.121.204.183,3
2.134.122.115,3
3.188.166.231,6
190.153.249.99,494
1.190.153.249,6
117.28.245.18,99
43.154.50.142,191
178.128.243.6,34
43.154.40.207,271
117.28.245.29,92
180.76.226.198,194
3.117.28.245,6
3.43.154.40,3
94.110.108.120,268
7.190.153.249,3
120.48.15.230,188
1.43.154.40,3
2.94.110.108,3
123.120.48.15,3
3.94.110.108,3
2.120.48.15,3
2.190.153.249,3
03.190.153.249,3
3.190.153.249,3
43.156.92.132,182
8.120.48.15,3
1.94.110.108,6
2.180.76.226,3
